,Methane,Ethanol,Humidity,Temperature,Quality
0,188.0,115.0,86.0,29.1,9.9211356466877
1,185.0,119.0,86.0,29.0,9.919071542625698
2,186.0,115.0,87.0,29.1,9.952681388012618
3,185.0,115.0,88.0,29.3,9.96845425867508
4,183.0,118.0,88.0,29.3,9.962962962962962
5,185.0,116.0,88.0,29.2,9.956108579662734
6,187.0,116.0,89.0,29.5,9.924562838337811
7,188.0,115.0,89.0,29.4,9.9211356466877
8,195.0,123.0,90.0,29.5,9.711960119951708
9,190.0,117.0,90.0,29.6,9.864898547338084
10,193.0,115.0,91.0,29.6,9.842271293375394
11,204.0,124.0,92.0,29.7,9.557658604977217
12,208.0,124.0,93.0,29.7,9.494567122327377
13,200.0,117.0,93.0,29.9,9.70716984071348
14,205.0,120.0,94.0,29.8,9.591268450364138
15,207.0,122.0,94.0,30.0,9.535031351014528
16,210.0,120.0,94.0,30.4,9.512404097051837
17,213.0,118.0,95.0,30.0,9.489776843089146
18,216.0,117.0,95.0,30.1,9.454803910114109
19,216.0,120.0,95.0,30.0,9.417766873077072
20,214.0,122.0,95.0,30.0,9.424621256377302
21,215.0,122.0,95.0,30.2,9.408848385714842
22,218.0,122.0,95.0,30.2,9.36152977372746
23,219.0,124.0,95.0,30.4,9.321065545040309
24,218.0,124.0,95.0,30.6,9.336838415702768
25,215.0,124.0,95.0,30.2,9.38415702769015
26,224.0,127.0,95.0,30.5,9.205164154690967
27,216.0,121.0,95.0,30.7,9.405421194064727
28,215.0,124.0,95.0,30.5,9.38415702769015
29,214.0,122.0,95.0,30.7,9.424621256377302
30,214.0,123.0,95.0,30.5,9.412275577364955
31,213.0,120.0,95.0,30.5,9.465085485064456
32,213.0,119.0,95.0,30.6,9.4774311640768
33,211.0,123.0,95.0,30.7,9.459594189352336
34,211.0,122.0,95.0,30.6,9.471939868364686
35,216.0,127.0,95.0,30.7,9.331347119990651
36,216.0,127.0,95.0,30.7,9.331347119990651
37,209.0,120.0,95.0,30.9,9.528176967714296
38,210.0,122.0,95.0,30.7,9.487712739027144
39,207.0,122.0,95.0,30.8,9.535031351014528
40,208.0,122.0,95.0,30.9,9.519258480352066
41,208.0,119.0,95.0,30.5,9.556295517389104
42,208.0,124.0,95.0,30.7,9.494567122327377
43,207.0,122.0,95.0,30.9,9.535031351014528
44,209.0,121.0,95.0,30.7,9.51583128870195
45,209.0,119.0,95.0,30.7,9.540522646726645
46,207.0,119.0,95.0,30.9,9.572068388051564
47,205.0,123.0,95.0,30.9,9.554231413327102
48,203.0,124.0,95.0,31.0,9.573431475639678
49,203.0,123.0,95.0,30.9,9.585777154652025
50,205.0,121.0,95.0,31.0,9.578922771351792
51,204.0,122.0,95.0,31.1,9.582349963001908
52,205.0,121.0,95.0,32.0,9.578922771351792
53,203.0,121.0,95.0,31.0,9.610468512676714
54,203.0,125.0,95.0,31.1,9.561085796627331
55,204.0,124.0,95.0,30.9,9.557658604977217
56,204.0,121.0,95.0,31.2,9.594695642014251
57,210.0,124.0,95.0,31.1,9.463021381002454
58,205.0,132.0,95.0,31.0,9.443120302215991
59,203.0,125.0,95.0,31.2,9.561085796627331
60,208.0,121.0,95.0,31.0,9.531604159364411
61,203.0,130.0,95.0,31.2,9.499357401565604
62,205.0,124.0,95.0,31.1,9.541885734314755
63,204.0,123.0,95.0,31.2,9.570004283989563
64,204.0,124.0,95.0,31.1,9.557658604977217
65,203.0,123.0,95.0,31.3,9.585777154652025
66,203.0,124.0,95.0,31.2,9.573431475639678
67,201.0,123.0,95.0,31.2,9.617322895976946
68,202.0,124.0,95.0,31.0,9.589204346302138
69,202.0,123.0,95.0,31.1,9.601550025314484
70,204.0,124.0,95.0,31.4,9.557658604977217
71,201.0,123.0,95.0,31.2,9.617322895976946
72,202.0,121.0,95.0,31.2,9.626241383339176
73,201.0,124.0,95.0,31.3,9.6049772169646
74,201.0,121.0,95.0,31.3,9.642014254001635
75,200.0,126.0,95.0,31.2,9.596058729602367
76,199.0,124.0,95.0,31.2,9.63652295828952
77,198.0,124.0,95.0,31.2,9.65229582895198
78,203.0,126.0,95.0,31.2,9.548740117614988
79,199.0,132.0,95.0,31.3,9.537757526190754
80,201.0,123.0,95.0,31.2,9.617322895976946
81,199.0,131.0,95.0,31.4,9.5501032052031
82,199.0,123.0,95.0,31.3,9.648868637301868
83,198.0,126.0,95.0,31.2,9.627604470927288
84,200.0,126.0,95.0,31.3,9.596058729602367
85,205.0,123.0,95.0,31.5,9.554231413327102
86,200.0,132.0,95.0,31.3,9.521984655528296
87,199.0,123.0,95.0,31.4,9.648868637301868
88,200.0,126.0,95.0,31.3,9.596058729602367
89,199.0,126.0,95.0,31.2,9.611831600264829
90,200.0,126.0,95.0,31.4,9.596058729602367
91,199.0,123.0,95.0,31.3,9.648868637301868
92,200.0,123.0,95.0,31.3,9.633095766639403
93,200.0,125.0,95.0,31.2,9.608404408614714
94,204.0,123.0,95.0,31.2,9.570004283989563
95,202.0,131.0,95.0,31.3,9.502784593215718
96,200.0,132.0,95.0,31.4,9.521984655528296
97,198.0,123.0,95.0,31.5,9.664641507964326
98,200.0,123.0,95.0,31.2,9.633095766639403
99,198.0,125.0,95.0,31.3,9.639950149939637
100,198.0,126.0,95.0,31.5,9.627604470927288
101,197.0,123.0,95.0,31.4,9.680414378626788
102,196.0,127.0,95.0,31.4,9.646804533239864
103,196.0,124.0,95.0,31.4,9.6838415702769
104,197.0,125.0,95.0,31.5,9.655723020602096
105,197.0,123.0,95.0,31.3,9.680414378626788
106,198.0,125.0,95.0,31.5,9.639950149939637
107,197.0,123.0,95.0,31.5,9.680414378626788
108,199.0,128.0,95.0,31.4,9.587140242240135
109,198.0,128.0,95.0,31.5,9.602913112902598
110,202.0,133.0,95.0,31.5,9.478093235191029
111,200.0,128.0,95.0,31.4,9.571367371577676
112,200.0,126.0,95.0,31.6,9.596058729602367
113,199.0,125.0,95.0,31.3,9.624177279277172
114,199.0,128.0,95.0,31.4,9.587140242240135
115,200.0,128.0,95.0,31.4,9.571367371577676
116,200.0,128.0,95.0,31.5,9.571367371577676
117,199.0,125.0,95.0,31.6,9.624177279277172
118,197.0,125.0,95.0,31.4,9.655723020602096
119,197.0,128.0,95.0,31.5,9.618685983565058
120,197.0,125.0,95.0,31.5,9.655723020602096
121,198.0,125.0,95.0,31.5,9.639950149939637
