,created_at,Methane,Ethanol,Humidity,Temperature,Date,Time,Hour,Mins,Secs,Year,Month,Day,E1,M1,E2,M2,E3,M3,M4,E4,M5,E5,Quality
1,2022-07-04T21:43:12+05:30,188,115,86,29.1,04-07-2022,21:43:12,21,43,12,2022,7,4,115,188,115,188,0,0,0.010426453,0.007460994,0.973800676,0.992539006,9.831698408
2,2022-07-04T21:43:30+05:30,185,119,86,29,04-07-2022,21:43:30,21,43,30,2022,7,4,119,185,119,185,0,0,0.010448997,0.007297981,0.983241855,0.982312408,9.827771316
3,2022-07-04T21:43:47+05:30,186,115,87,29.1,04-07-2022,21:43:47,21,43,47,2022,7,4,116.4,185.4,116.3740794,185.3857815,1.30537351,1.023718711,0.010415182,0.007310521,0.982036267,0.989086779,9.855615231
4,2022-07-04T21:44:04+05:30,185,115,88,29.3,04-07-2022,21:44:04,21,44,4,2022,7,4,116.6,184.8,116.5774766,184.794781,1.30537351,1.058300524,0.010437725,0.007272902,0.983892273,0.988600505,9.86246389
5,2022-07-04T21:44:21+05:30,183,118,88,29.3,04-07-2022,21:44:21,21,44,21,2022,7,4,116,185.2,115.989743,185.190471,1.488623525,1.091787525,0.010460269,0.007272902,0.982614698,0.990143016,9.86378857
6,2022-07-04T21:44:38+05:30,185,116,88,29.2,04-07-2022,21:44:38,21,44,38,2022,7,4,116,185.6,115.989743,185.5836112,1.725108692,1.148912529,0.010572987,0.007373218,0.98125097,0.9900427,9.85646835
7,2022-07-04T21:44:55+05:30,187,116,89,29.5,04-07-2022,21:44:55,21,44,55,2022,7,4,117.6,187.6,117.5317697,187.5128873,3.03183113,2.276839915,0.01065189,0.007360679,0.97497447,0.985974685,9.80474578
8,2022-07-04T21:45:12+05:30,188,115,89,29.4,04-07-2022,21:45:12,21,45,12,2022,7,4,117.4,189,117.331998,188.9394045,3.006659276,2.723233372,0.010742065,0.007348139,0.970426067,0.986506409,9.784662378
9,2022-07-04T21:45:29+05:30,195,123,90,29.5,04-07-2022,21:45:29,21,45,29,2022,7,4,117.2,190.6,117.1259617,190.552755,3.913055072,3.513402909,0.010933686,0.007448455,0.965166069,0.986933413,9.760497411
10,2022-07-04T21:45:46+05:30,190,117,90,29.6,04-07-2022,21:45:46,21,45,46,2022,7,4,118.8,194,118.6720775,193.844883,4.362568051,4.155959576,0.011159123,0.00756131,0.954385225,0.982734693,9.685599592
11,2022-07-04T21:46:04+05:30,193,115,91,29.6,04-07-2022,21:46:04,21,46,4,2022,7,4,120.6,198,120.4767769,197.7663222,4.591296113,4.926662156,0.011215482,0.007486073,0.941834483,0.978128502,9.599814924
12,2022-07-04T21:46:21+05:30,204,124,92,29.7,04-07-2022,21:46:21,21,46,21,2022,7,4,119.4,199,119.2785038,198.774293,4.268957718,5.000799936,0.01138456,0.007523692,0.938498259,0.981205524,9.598518913
13,2022-07-04T21:46:38+05:30,208,124,93,29.7,04-07-2022,21:46:38,21,46,38,2022,7,4,120,202,119.8896258,201.8648352,4.200952273,4.691268485,0.011542366,0.007611468,0.928733919,0.979544862,9.541393906
14,2022-07-04T21:46:55+05:30,200,117,93,29.9,04-07-2022,21:46:55,21,46,55,2022,7,4,121.4,204.8,121.3412711,204.7617782,3.567632268,4.124075654,0.011609997,0.00756131,0.919680574,0.975891584,9.477860791
15,2022-07-04T21:47:12+05:30,205,120,94,29.8,04-07-2022,21:47:12,21,47,12,2022,7,4,120.6,206,120.5548048,205.9429897,2.92711462,3.466410247,0.011666356,0.007486073,0.915868361,0.978027167,9.469477638
16,2022-07-04T21:47:29+05:30,207,122,94,30,04-07-2022,21:47:29,21,47,29,2022,7,4,119.4,207,119.3745553,206.9047671,2.4,2.210882177,0.011846705,0.007486073,0.912593725,0.9811184,9.468560626
17,2022-07-04T21:47:46+05:30,210,120,94,30.4,04-07-2022,21:47:46,21,47,46,2022,7,4,119.4,210.2,119.3745553,210.1252047,1.743559577,1.117139204,0.011970696,0.007486073,0.902342862,0.9811184,9.417306309
18,2022-07-04T21:48:03+05:30,213,118,95,30,04-07-2022,21:48:03,21,48,3,2022,7,4,119.4,212.4,119.3745553,212.3420182,1.725108692,1.155854662,0.012049599,0.007486073,0.895297376,0.9811184,9.382078881
19,2022-07-04T21:48:20+05:30,216,117,95,30.1,04-07-2022,21:48:20,21,48,20,2022,7,4,119.4,213.8,119.3745553,213.7766489,1.419859148,1.408545349,0.012105958,0.007511152,0.89076999,0.981093321,9.359316558
20,2022-07-04T21:48:37+05:30,216,120,95,30,04-07-2022,21:48:37,21,48,37,2022,7,4,119.8,214.8,119.7651814,214.7936559,1.394274005,1.538830725,0.012162317,0.00756131,0.887532232,0.980016376,9.337743041
