,created_at,Methane,Ethanol,Humidity,Temperature,Quality
0,2022-06-30T20:26:06+00:00,199,145,71,31.8,8.8
1,2022-06-30T20:27:07+00:00,198,142,71,31.8,8.8
2,2022-06-30T20:27:22+00:00,199,143,70,31.8,8.8
3,2022-06-30T20:28:07+00:00,203,143,70,31.9,8.8
4,2022-06-30T20:28:22+00:00,195,144,70,31.9,8.8
5,2022-06-30T20:28:37+00:00,183,149,70,32.2,8.8
6,2022-06-30T20:29:07+00:00,179,142,70,32.5,8.8
7,2022-06-30T20:29:23+00:00,180,143,70,32.6,8.8
8,2022-06-30T20:29:38+00:00,177,129,70,32.7,8.8
9,2022-06-30T20:29:53+00:00,179,120,69,32.7,8.8
10,2022-06-30T20:30:23+00:00,176,117,69,32.7,8.8
11,2022-06-30T20:30:38+00:00,180,117,68,32.7,8.8
12,2022-06-30T20:31:04+00:00,175,120,68,32.3,8.8
13,2022-06-30T20:31:21+00:00,178,119,68,32.1,8.8
14,2022-06-30T20:31:55+00:00,175,118,67,32.2,8.8
15,2022-06-30T20:32:12+00:00,179,118,67,32.3,8.8
16,2022-06-30T20:32:29+00:00,175,117,67,32.2,8.8
17,2022-06-30T20:33:23+00:00,176,123,67,32.2,8.8
18,2022-06-30T20:34:12+00:00,177,114,66,32.1,8.8
19,2022-06-30T20:35:20+00:00,180,121,67,32.1,8.8
20,2022-06-30T20:36:29+00:00,176,120,67,32.1,8.614209737
21,2022-06-30T20:36:47+00:00,164,120,67,32.0,8.771319058
22,2022-06-30T20:37:03+00:00,104,114,67,32.1,8.944453797
23,2022-06-30T20:37:21+00:00,116,113,67,32.0,9.039974138
24,2022-06-30T20:39:37+00:00,115,112,68,32.0,9.164207445
25,2022-06-30T20:41:03+00:00,139,112,68,32.1,9.064937912
26,2022-06-30T20:41:19+00:00,115,113,68,32.0,9.02203428
27,2022-06-30T20:41:54+00:00,114,147,68,32.0,9.038692467
28,2022-06-30T20:42:11+00:00,135,112,68,32.0,9.044601211
29,2022-06-30T20:42:28+00:00,107,114,68,31.8,9.057641991
30,2022-06-30T20:42:45+00:00,134,114,68,31.9,9.082011118
31,2022-06-30T20:43:20+00:00,111,112,69,32.0,9.143695377
32,2022-06-30T20:43:36+00:00,135,113,69,32.0,9.090566996
33,2022-06-30T20:43:53+00:00,108,114,69,32.0,9.18877992
34,2022-06-30T20:44:10+00:00,123,119,69,32.0,9.215117407
35,2022-06-30T20:46:03+00:00,133,80,69,32.2,9.293574364
36,2022-06-30T20:46:20+00:00,111,101,69,32.5,9.234614799
37,2022-06-30T20:46:54+00:00,111,104,69,32.2,9.283189348
38,2022-06-30T20:47:11+00:00,140,106,69,32.2,9.213202594
39,2022-06-30T20:47:28+00:00,115,106,71,32.1,9.122309173
40,2022-06-30T20:47:46+00:00,133,106,71,32.1,9.062341921
41,2022-06-30T20:48:03+00:00,139,110,70,32.1,9.059806902
42,2022-06-30T20:48:20+00:00,136,102,70,32.1,8.996754748
43,2022-06-30T20:48:37+00:00,138,109,70,32.2,8.981761283
44,2022-06-30T20:48:54+00:00,138,107,71,32.2,9.062313868
45,2022-06-30T20:49:11+00:00,139,106,71,32.3,9.113779715
46,2022-06-30T20:49:28+00:00,115,103,71,32.4,9.130393115
47,2022-06-30T20:49:45+00:00,109,110,71,32.2,9.17132944
48,2022-06-30T20:50:02+00:00,135,105,70,32.2,9.238446221
49,2022-06-30T20:50:37+00:00,118,110,70,32.2,9.233725231
50,2022-06-30T20:50:54+00:00,109,108,70,32.2,9.230926815
51,2022-06-30T20:51:11+00:00,111,109,70,32.0,9.214922159
52,2022-06-30T20:51:28+00:00,111,109,70,32.0,9.227665227
53,2022-06-30T20:51:45+00:00,139,108,70,32.2,9.164988661
54,2022-06-30T20:52:02+00:00,111,112,70,32.1,9.073620952
55,2022-06-30T20:52:19+00:00,134,109,70,32.0,9.003734878
56,2022-06-30T20:52:36+00:00,145,113,70,31.8,9.008350073
57,2022-06-30T20:52:53+00:00,135,112,70,32.0,8.953395534
58,2022-06-30T20:53:10+00:00,136,109,70,32.1,9.020684991
59,2022-06-30T20:53:28+00:00,131,112,70,32.1,9.039444764
60,2022-06-30T20:53:45+00:00,111,107,69,32.1,9.041845877
61,2022-06-30T20:54:02+00:00,141,109,69,32.0,9.109885988
62,2022-06-30T20:54:19+00:00,135,111,69,32.0,9.124674736
63,2022-06-30T20:54:36+00:00,107,112,69,32.2,9.05686918
64,2022-06-30T20:54:53+00:00,120,117,70,32.2,9.030406577
65,2022-06-30T20:55:10+00:00,133,112,70,32.2,9.08746227
66,2022-06-30T20:55:27+00:00,142,119,70,32.2,9.012480397
67,2022-06-30T20:56:01+00:00,105,119,70,32.2,8.980351068
68,2022-06-30T20:56:53+00:00,138,111,70,32.8,9.010459718
69,2022-06-30T20:57:10+00:00,137,113,71,32.2,9.099371318
70,2022-06-30T20:57:27+00:00,120,113,70,32.2,9.102617588
71,2022-06-30T20:57:44+00:00,107,118,70,32.1,9.131988835
72,2022-06-30T20:58:01+00:00,109,113,70,32.1,9.207981723
73,2022-06-30T20:58:18+00:00,124,112,70,32.2,9.185555015
74,2022-06-30T20:58:35+00:00,107,111,70,32.1,9.16453509
75,2022-06-30T20:58:52+00:00,131,112,71,32.2,9.17752184
76,2022-06-30T20:59:27+00:00,121,112,70,32.2,9.217180157
77,2022-06-30T20:59:44+00:00,106,111,70,32.3,9.212115022
78,2022-06-30T21:00:01+00:00,107,113,69,32.3,9.263248041
79,2022-06-30T21:00:18+00:00,108,112,70,32.3,9.235220349
80,2022-06-30T21:00:35+00:00,109,112,70,32.3,9.159824002
81,2022-06-30T21:01:26+00:00,135,111,70,32.2,9.140777305
82,2022-06-30T21:01:43+00:00,138,111,70,32.1,9.070536039
83,2022-06-30T21:02:00+00:00,118,109,70,32.0,8.973861852
84,2022-06-30T21:02:18+00:00,137,111,70,31.5,9.018673374
85,2022-06-30T21:02:35+00:00,147,112,70,32.1,8.993664005
86,2022-06-30T21:02:52+00:00,116,113,70,32.1,8.91062599
87,2022-06-30T21:03:09+00:00,149,111,70,32.0,8.870058255
88,2022-06-30T21:03:26+00:00,149,111,70,32.0,8.933278448
89,2022-06-30T21:03:43+00:00,154,111,70,32.0,8.920809567
90,2022-06-30T21:04:00+00:00,125,109,70,31.8,9.03220102
91,2022-06-30T21:04:17+00:00,122,111,70,32.0,9.05914146
92,2022-06-30T21:04:34+00:00,109,108,69,32.1,9.096364958
93,2022-06-30T21:05:09+00:00,137,111,69,32.2,9.135789358
94,2022-06-30T21:05:26+00:00,138,110,69,32.3,9.065784166
95,2022-06-30T21:05:43+00:00,109,110,69,32.0,9.052612064
96,2022-06-30T21:06:00+00:00,141,122,70,32.0,8.98648972
97,2022-06-30T21:06:17+00:00,111,111,70,32.2,9.009882366
98,2022-06-30T21:06:34+00:00,140,137,70,32.0,8.919946478
99,2022-06-30T21:06:51+00:00,109,130,70,32.0,8.900177112
100,2022-06-30T21:07:08+00:00,117,138,70,32.0,8.798853292
101,2022-06-30T21:07:25+00:00,141,130,70,31.7,8.936754013
102,2022-06-30T21:07:42+00:00,123,138,71,32.1,8.988287117
103,2022-06-30T21:08:00+00:00,111,111,71,32.0,9.004983503
104,2022-06-30T21:08:51+00:00,107,112,70,32.1,9.083814121
105,2022-06-30T21:09:08+00:00,134,114,71,32.0,9.109305305
106,2022-06-30T21:09:25+00:00,118,119,70,32.1,9.104612986
107,2022-06-30T21:09:42+00:00,139,111,70,32.1,9.075249102
108,2022-06-30T21:09:59+00:00,110,114,70,32.1,9.047429861
109,2022-06-30T21:10:16+00:00,117,113,71,32.3,9.072646367
110,2022-06-30T21:10:33+00:00,140,120,71,32.2,9.147900229
111,2022-06-30T21:10:51+00:00,113,114,70,32.3,9.140020637
112,2022-06-30T21:11:08+00:00,106,113,70,32.2,9.168589584
113,2022-06-30T21:11:25+00:00,115,112,70,32.3,9.252879215
114,2022-06-30T21:11:42+00:00,105,114,70,32.3,9.26259874
115,2022-06-30T21:11:59+00:00,109,114,70,32.1,9.204945577
116,2022-06-30T21:12:16+00:00,111,112,70,32.1,9.212379106
117,2022-06-30T21:12:33+00:00,134,110,70,32.0,9.217478445
118,2022-06-30T21:12:50+00:00,112,112,70,32.0,9.224663166
119,2022-06-30T21:13:07+00:00,104,113,70,32.1,9.240156871
