,entry_id,Date,Time,Ethanol,humidity,methane,temperature,Hour,Mins,Secs,Year,Month,Day,E1,H1,M1,T1,E2,H2,M2,T2,Spoiled
0,1,2022-06-30,20:25:21,153,71.0,206.0,31.7,20,25,21,2022,6,30,153.0,71.0,206.0,31.7,153.0,71.0,206.0,31.7,No
1,2,2022-06-30,20:26:06,145,71.0,199.0,31.8,20,26,6,2022,6,30,145.0,71.0,199.0,31.8,145.0,71.0,199.0,31.8,No
2,3,2022-06-30,20:27:07,142,71.0,198.0,31.8,20,27,7,2022,6,30,145.2,70.6,201.0,31.8,145.09253401612182,70.59659090909092,200.95466638541117,31.79987421309015,No
3,4,2022-06-30,20:27:22,143,70.0,199.0,31.8,20,27,22,2022,6,30,143.4,70.4,198.8,31.840000000000003,143.39276121511935,70.39660056657223,198.76708901584504,31.839924670433145,No
4,5,2022-06-30,20:28:07,143,70.0,203.0,31.9,20,28,7,2022,6,30,144.2,70.2,195.6,31.920000000000005,144.1581855252039,70.19774011299435,195.35504271526418,31.919326909922408,No
5,6,2022-06-30,20:28:22,144,70.0,195.0,31.9,20,28,22,2022,6,30,144.2,70.0,191.8,32.06,144.15818552520386,70.0,191.347186952439,32.057940848150515,No
6,7,2022-06-30,20:28:37,149,70.0,183.0,32.2,20,28,37,2022,6,30,144.2,70.0,188.0,32.22,144.15818552520386,70.0,187.54025942291798,32.21734537061464,No
7,8,2022-06-30,20:29:07,142,70.0,179.0,32.5,20,29,7,2022,6,30,141.4,70.0,182.8,32.379999999999995,141.07137139798536,70.0,182.58469726877007,32.37734261416946,No
8,9,2022-06-30,20:29:23,143,70.0,180.0,32.6,20,29,23,2022,6,30,136.6,69.8,179.6,32.54,135.75173703327889,69.79768786127168,179.57874797013375,32.5389369404177,No
9,10,2022-06-30,20:29:38,129,70.0,177.0,32.7,20,29,38,2022,6,30,130.2,69.6,178.2,32.64,129.3074229960359,69.59654178674351,178.18784354310455,32.63980351480139,No
10,11,2022-06-30,20:29:53,120,69.0,179.0,32.7,20,29,53,2022,6,30,125.2,69.2,178.4,32.68000000000001,124.46388610883086,69.19187663267886,178.38514996888398,32.67995095033722,No
11,12,2022-06-30,20:30:23,117,69.0,176.0,32.7,20,30,23,2022,6,30,120.6,68.8,177.4,32.620000000000005,120.44529566674647,68.79189008042896,177.38063974594252,32.61920938851143,No
12,13,2022-06-30,20:30:38,117,68.0,180.0,32.7,20,30,38,2022,6,30,118.6,68.4,177.6,32.5,118.584447662039,68.39650145772595,177.58059759529135,32.49802161273069,No
13,14,2022-06-30,20:31:04,120,68.0,175.0,32.3,20,31,4,2022,6,30,118.2,68.0,176.8,32.4,118.1885346084647,67.99411688367867,176.77887378240067,32.39802808821641,No
14,15,2022-06-30,20:31:21,119,68.0,178.0,32.1,20,31,21,2022,6,30,118.4,67.6,177.4,32.32000000000001,118.39123613982572,67.59643916913947,177.37606157572176,32.31872091800769,No
15,16,2022-06-30,20:31:55,118,67.0,175.0,32.2,20,31,55,2022,6,30,118.4,67.4,176.4,32.220000000000006,118.39123613982571,67.39644970414201,176.38285218997729,32.21982605540286,No
16,17,2022-06-30,20:32:12,118,67.0,179.0,32.3,20,32,12,2022,6,30,119.0,67.2,176.6,32.2,118.96376733783286,67.1976401179941,176.58510273591767,32.19987577567865,No
