created_at,,Methane,Ethanol,Humidity,Temperature
2022-07-07T00:13:36+05:30,12538,224,176,89,29.2
2022-07-07T00:14:49+05:30,12539,224,180,88,29.2
2022-07-07T00:15:24+05:30,12540,225,183,95,29.3
2022-07-07T00:15:41+05:30,12541,225,186,90,29.4
2022-07-07T00:16:15+05:30,12542,217,187,90,29.8
2022-07-07T00:16:49+05:30,12543,223,191,90,30
2022-07-07T00:17:40+05:30,12544,225,183,92,30
2022-07-07T00:18:15+05:30,12545,227,188,92,30.5
2022-07-07T00:18:32+05:30,12546,226,188,93,30.5
2022-07-07T00:18:49+05:30,12547,227,195,93,30.6
2022-07-07T00:19:57+05:30,12548,227,195,94,30.7
2022-07-07T00:20:31+05:30,12549,227,187,95,30.8
2022-07-07T00:20:48+05:30,12550,223,190,94,31
2022-07-07T00:21:06+05:30,12551,223,187,94,30.9
2022-07-07T00:21:23+05:30,12552,229,190,95,31.3
2022-07-07T00:21:40+05:30,12553,225,189,95,31.5
2022-07-07T00:22:14+05:30,12554,223,187,95,31.6
2022-07-07T00:22:31+05:30,12555,224,190,95,31.4
2022-07-07T00:23:39+05:30,12556,223,190,94,31.6
2022-07-07T00:23:57+05:30,12557,224,197,94,31.7
2022-07-07T00:24:48+05:30,12558,228,187,94,31.8
2022-07-07T00:25:39+05:30,12559,224,195,94,31.9
2022-07-07T00:25:56+05:30,12560,221,187,94,31.8
2022-07-07T00:26:13+05:30,12561,222,186,94,31.9
2022-07-07T00:26:30+05:30,12562,221,187,94,32
2022-07-07T00:27:05+05:30,12563,223,196,94,32
2022-07-07T00:27:22+05:30,12564,222,189,93,32
2022-07-07T00:27:39+05:30,12565,220,193,93,32
2022-07-07T00:27:56+05:30,12566,224,192,93,32
2022-07-07T00:28:30+05:30,12567,221,185,93,32.1
2022-07-07T00:28:47+05:30,12568,225,185,93,32.2
2022-07-07T00:29:04+05:30,12569,221,193,93,32.4
2022-07-07T00:29:21+05:30,12570,220,193,92,32.2
2022-07-07T00:29:56+05:30,12571,225,195,93,32.4
2022-07-07T00:30:13+05:30,12572,219,195,92,32.2
2022-07-07T00:30:30+05:30,12573,218,196,92,32.5
2022-07-07T00:30:47+05:30,12574,224,192,92,32.1
2022-07-07T00:31:04+05:30,12575,223,191,92,32.3
2022-07-07T00:31:38+05:30,12576,224,188,92,32.5
2022-07-07T00:31:55+05:30,12577,219,185,92,32.3
2022-07-07T00:32:29+05:30,12578,223,185,92,33.5
2022-07-07T00:32:47+05:30,12579,218,185,92,32.4
2022-07-07T00:33:04+05:30,12580,224,187,91,32.4
2022-07-07T00:33:38+05:30,12581,224,193,91,32.9
2022-07-07T00:33:55+05:30,12582,217,194,91,32.4
2022-07-07T00:34:12+05:30,12583,218,184,91,32.5
2022-07-07T00:34:29+05:30,12584,224,184,91,32.5
2022-07-07T00:35:55+05:30,12585,217,189,91,32.6
2022-07-07T00:36:12+05:30,12586,218,193,91,32.7
2022-07-07T00:36:46+05:30,12587,218,184,91,32.5
2022-07-07T00:37:20+05:30,12588,223,182,91,32.5
2022-07-07T00:37:37+05:30,12589,221,184,90,32.7
